Transaction Date,Post Date,Description,Category,Type,Amount,Memo
9/1/2022,9/4/2022,TROEGS BREWING COMPANY,Food & Drink,Sale,-85.37,
9/2/2022,9/4/2022,KARNS QUALITY FOODS,Groceries,Sale,-17.59,
9/2/2022,9/4/2022,SQ *BIG D'S FIREWORKS,Groceries,Sale,-86.98,
9/2/2022,9/4/2022,SQ *RONALD BLUMBERG,Personal,Sale,-25,
9/3/2022,9/4/2022,DUNKIN #330908 Q35,Food & Drink,Sale,-3.4,
9/3/2022,9/4/2022,SQ *GEORGE'S RESTAURANT &amp;,Food & Drink,Sale,-31.55,
9/2/2022,9/4/2022,CITGO ADAMS FUEL  LLC,Gas,Sale,-32.83,
9/2/2022,9/4/2022,KARNS QUALITY FOODS,Groceries,Sale,-10.49,
9/2/2022,9/4/2022,CITGO ADAMS FUEL  LLC,Gas,Sale,-11.33,
9/2/2022,9/4/2022,SPEEDWAY 06755,Gas,Sale,-39.83,
9/1/2022,9/1/2022,Payment Thank You Bill Pa,,Payment,1761,
9/1/2022,9/1/2022,CHIPOTLE ONLINE,Food & Drink,Sale,-24.38,
8/30/2022,8/31/2022,E-Z*PASSMTA VIOLATIONS,Travel,Sale,-20.34,
8/30/2022,8/31/2022,E-Z*PASSPANYNJ VIOL,Travel,Sale,-16,
8/28/2022,8/30/2022,ROBINSON CITGO,Gas,Sale,-86.74,
8/29/2022,8/30/2022,KARNS QUALITY FOODS,Groceries,Sale,-10.59,
8/29/2022,8/30/2022,GIANT FUEL 6279,Gas,Sale,-33.38,
8/27/2022,8/29/2022,THE WILD DUCK,Food & Drink,Sale,-44.43,
8/28/2022,8/29/2022,MCDONALD'S F5737,Food & Drink,Sale,-8.67,
8/28/2022,8/29/2022,BOSTON MARKET 3203,Food & Drink,Sale,-23.83,
8/26/2022,8/28/2022,CVS/PHARMACY #01900,Health & Wellness,Sale,-19.74,
8/25/2022,8/28/2022,PAULI'S,Food & Drink,Sale,-8.33,
8/26/2022,8/28/2022,PIZZERIA REGINA NORTH END,Food & Drink,Sale,-32.7,
8/26/2022,8/28/2022,GOING BANANAS,Groceries,Sale,-7.93,
8/24/2022,8/26/2022,TST* Magnolia Bakery - Mo,Food & Drink,Sale,-9.45,
8/25/2022,8/26/2022,GOING BANANAS,Groceries,Sale,-13.97,
8/24/2022,8/26/2022,MTA*NYCT PAYGO,Travel,Sale,-2.75,
8/25/2022,8/26/2022,CVS/PHARMACY #01900,Health & Wellness,Sale,-2.09,
8/25/2022,8/26/2022,APPLE.COM/BILL,Shopping,Sale,-5.3,
8/24/2022,8/26/2022,FUEL FEVER JUICE &amp; COFFEE,Food & Drink,Sale,-6,
8/25/2022,8/26/2022,SQ *WALK UP COFFEE,Food & Drink,Sale,-6.24,
8/25/2022,8/26/2022,CHIPOTLE 1653,Food & Drink,Sale,-9.52,
8/25/2022,8/26/2022,WALGREENS #15390,Health & Wellness,Sale,-10.4,
8/24/2022,8/25/2022,BRIDGE FRESH (PICKUP),Groceries,Sale,-5.7,
8/24/2022,8/25/2022,MTA*NYCT PAYGO,Travel,Sale,-2.75,
8/24/2022,8/25/2022,STUBHUB  INC.,Entertainment,Sale,-72.12,
8/24/2022,8/25/2022,BRIDGE FRESH (PICKUP),Groceries,Sale,-3.1,
8/24/2022,8/25/2022,AMTRAK NRTHEAST CAFE Q12,Food & Drink,Sale,-15.25,
8/24/2022,8/25/2022,TST* CHOPT CREATIVE SALAD,Food & Drink,Sale,-14.14,
8/24/2022,8/25/2022,SQ *BREAD AND SPREAD SAND,Food & Drink,Sale,-20.51,
8/23/2022,8/24/2022,CHICKPEA,Food & Drink,Sale,-4.82,
8/23/2022,8/24/2022,WASTE MGMT WM EZPAY,Bills & Utilities,Sale,-94.05,
8/23/2022,8/24/2022,MTA*NYCT PAYGO,Travel,Sale,-2.75,
8/23/2022,8/24/2022,ROY'S FISH &amp; SUSHI,Groceries,Sale,-37.93,
8/23/2022,8/24/2022,MTA*NYCT PAYGO,Travel,Sale,-2.75,
8/23/2022,8/24/2022,LUNITTA PIZZA,Food & Drink,Sale,-11.27,
8/23/2022,8/24/2022,BRIDGE FRESH (PICKUP),Groceries,Sale,-5.96,
8/23/2022,8/24/2022,SQ *OSAMA HASSAN,Professional Services,Sale,-10.89,
8/21/2022,8/23/2022,AMTRAK AGENC2330938019147,Travel,Sale,-67,
8/21/2022,8/23/2022,AMTRAK .COM 2330704015774,Travel,Sale,-82,
8/22/2022,8/23/2022,GIANT 6097,Groceries,Sale,-8.8,
8/21/2022,8/23/2022,SUNOCO 0708971700,Gas,Sale,-40.92,
8/21/2022,8/22/2022,LOVE'S #646,Gas,Sale,-1.92,
8/20/2022,8/21/2022,TST* Kava Neo Taverna,Food & Drink,Sale,-147.06,
8/19/2022,8/21/2022,NORTHEND FISH SUSHI,Food & Drink,Sale,-60,
8/19/2022,8/21/2022,THE WILD DUCK,Food & Drink,Sale,-14.54,
8/19/2022,8/21/2022,CVS/PHARMACY #01900,Health & Wellness,Sale,-15.71,
8/20/2022,8/21/2022,SPOTHERO 844-356-8054,Travel,Sale,-25.99,
8/19/2022,8/21/2022,GOING BANANAS,Groceries,Sale,-20.98,
8/18/2022,8/19/2022,CVS/PHARMACY #01900,Health & Wellness,Sale,-13.96,
8/18/2022,8/19/2022,GOING BANANAS,Groceries,Sale,-17.46,
8/18/2022,8/19/2022,GOING BANANAS,Groceries,Sale,-10.19,
8/17/2022,8/18/2022,GOING BANANAS,Groceries,Sale,-3.99,
8/16/2022,8/18/2022,BELL IN HAND TAVERN,Food & Drink,Sale,-89,
8/17/2022,8/18/2022,SQ *WALK UP COFFEE,Food & Drink,Sale,-6.24,
8/16/2022,8/18/2022,THE WILD DUCK,Food & Drink,Sale,-24.21,
8/17/2022,8/18/2022,AMZN Mktp US*PB5SV6903,Shopping,Sale,-27.52,
8/18/2022,8/18/2022,AMZN Mktp US*UJ3LP4BE3,Shopping,Sale,-14.84,
8/17/2022,8/18/2022,HOMEGOODS 0832,Shopping,Sale,-37.7,
8/15/2022,8/17/2022,AMTRAK .COM 2270632069131,Travel,Sale,-100,
8/15/2022,8/17/2022,PETER PAN BUS LINES  INC,Travel,Sale,-49,
8/16/2022,8/16/2022,Payment Thank You Bill Pa,,Payment,1219,
8/14/2022,8/16/2022,TST* Anchorage at Sunapee,Food & Drink,Sale,-97,
8/15/2022,8/16/2022,DUNKIN #345299 Q35,Food & Drink,Sale,-5.02,
8/15/2022,8/16/2022,CHIPOTLE 1653,Food & Drink,Sale,-9.52,
8/15/2022,8/15/2022,Offer:Panera Bread (in,Fees & Adjustments,Adjustment,1.98,
8/14/2022,8/15/2022,DUNKIN #352514 Q35,Food & Drink,Sale,-2.16,
8/14/2022,8/15/2022,CIRCLE K 07239,Gas,Sale,-49.64,
8/14/2022,8/15/2022,DUNKIN #352514 Q35,Food & Drink,Sale,-8.98,
8/13/2022,8/15/2022,SCHOONER`S MARKET,Groceries,Sale,-29.99,
8/11/2022,8/14/2022,MTA*NYCT PAYGO,Travel,Sale,-2.75,
8/12/2022,8/14/2022,CHICK-FIL-A #03712,Food & Drink,Sale,-10.36,
8/12/2022,8/14/2022,BIG Y EXPRESS #118,Gas,Sale,-1.84,
8/12/2022,8/14/2022,MTA*NYCT PAYGO,Travel,Sale,-2.75,
8/12/2022,8/14/2022,BIG Y EXPRESS #118,Gas,Sale,-43.05,
8/13/2022,8/14/2022,TST* The Mill,Food & Drink,Sale,-13.98,
8/12/2022,8/14/2022,Khe-Yo,Food & Drink,Sale,-74.15,
8/11/2022,8/12/2022,DD/BR #339953 Q35,Food & Drink,Sale,-5.21,
8/11/2022,8/12/2022,SQ *CHURCH STREET GROCERY,Groceries,Sale,-20.69,
8/10/2022,8/12/2022,SUNOCO 0355259300,Gas,Sale,-36.41,
8/11/2022,8/11/2022,Payment Thank You Bill Pa,,Payment,300,
8/10/2022,8/11/2022,GIANT 6097,Groceries,Sale,-36.19,
8/10/2022,8/11/2022,SPOTHERO 844-356-8054,Travel,Sale,-45.75,
8/9/2022,8/10/2022,PANERA BREAD #600833 P,Food & Drink,Sale,-32.16,
8/8/2022,8/9/2022,GIANT 6097,Groceries,Sale,-18.71,
8/7/2022,8/9/2022,EXXONMOBIL    48085724,Gas,Sale,-5.79,
8/7/2022,8/9/2022,EXXONMOBIL    48085724,Gas,Sale,-2.76,
8/7/2022,8/8/2022,SP NHMADE,Shopping,Sale,-9.74,
8/7/2022,8/8/2022,GULF OIL 92038883,Gas,Sale,-0.63,
8/7/2022,8/8/2022,GULF OIL 92038883,Gas,Sale,-32.33,
8/7/2022,8/8/2022,NH LIQUOR STORE #73,Food & Drink,Sale,-14.93,
8/7/2022,8/8/2022,BRETTUNS VARIETY - GAS,Gas,Sale,-39.54,
8/7/2022,8/8/2022,PANERA BREAD #202129 K,Food & Drink,Sale,-19.75,
8/7/2022,8/8/2022,HKS PLEASANTVILLE CORP,Gas,Sale,-29.75,
8/6/2022,8/8/2022,SHELL OIL 57544913106,Gas,Sale,-1.59,
8/6/2022,8/8/2022,SHELL OIL 57544913106,Gas,Sale,-28.77,
8/7/2022,8/8/2022,DUNKIN #340359 Q35,Food & Drink,Sale,-12.27,
8/7/2022,8/8/2022,WALGREENS #19953,Health & Wellness,Sale,-9.82,
8/5/2022,8/7/2022,GOING BANANAS,Groceries,Sale,-7.43,
8/6/2022,8/7/2022,DUNKIN #350500 Q35,Food & Drink,Sale,-11.83,
8/4/2022,8/5/2022,SQ *POKE BY LOVE ART NORT,Food & Drink,Sale,-8.85,
8/4/2022,8/5/2022,GOING BANANAS,Groceries,Sale,-25.25,
8/4/2022,8/4/2022,TST* TATTE BAKERY CHARLES,Food & Drink,Sale,-24.25,
8/2/2022,8/4/2022,EXXONMOBIL    97423479,Gas,Sale,-5.34,
8/3/2022,8/4/2022,AMZN Mktp US*AD7097YY3,Shopping,Sale,-26.84,
8/3/2022,8/4/2022,DUNKIN #345299 Q35,Food & Drink,Sale,-8.54,
8/2/2022,8/4/2022,EXXONMOBIL    97423479,Gas,Sale,-44.66,
8/2/2022,8/3/2022,SQ *BREAD AND SPREAD SAND,Food & Drink,Sale,-16,
8/1/2022,8/3/2022,FUEL FEVER JUICE &amp; COFFEE,Food & Drink,Sale,-26.22,
8/3/2022,8/3/2022,PEDRO'S BAR &amp; RESTAURANT,Food & Drink,Sale,-41.84,
8/1/2022,8/3/2022,MTA*NYCT PAYGO,Travel,Sale,-2.75,
8/2/2022,8/3/2022,MTA*NYCT PAYGO,Travel,Sale,-2.75,
8/1/2022,8/3/2022,FUEL FEVER JUICE,Food & Drink,Sale,-3.97,
8/1/2022,8/1/2022,Payment Thank You Bill Pa,,Payment,2000,
7/31/2022,8/1/2022,PENN HOTEL &amp; SPORTS BAR,Food & Drink,Sale,-24,
7/31/2022,8/1/2022,TURKEY HILL #0222,Gas,Sale,-45.04,
7/31/2022,8/1/2022,GIANT 6097,Groceries,Sale,-9.79,
7/31/2022,8/1/2022,GIANT 6097,Groceries,Sale,-17.95,
7/30/2022,8/1/2022,PRIMANTI BROS HERSHEY,Food & Drink,Sale,-14.78,
7/31/2022,8/1/2022,PENN HOTEL &amp; SPORTS BAR,Food & Drink,Sale,-12,
7/28/2022,7/31/2022,WAFFLE HOUSE 1691,Food & Drink,Sale,-15.75,
7/29/2022,7/31/2022,MTA*NYCT PAYGO,Travel,Sale,-2.75,
7/30/2022,7/31/2022,CHIPOTLE 2103,Food & Drink,Sale,-24.07,
7/29/2022,7/31/2022,GIANT 6097,Groceries,Sale,-98.14,
7/29/2022,7/31/2022,GIANT 6097,Groceries,Sale,-21,
7/28/2022,7/31/2022,CHICK-FIL-A #04141,Food & Drink,Sale,-12.29,
7/29/2022,7/31/2022,TST* DAN JONES CAFE,Food & Drink,Sale,-13.25,
7/30/2022,7/31/2022,THE BEER STOP,Food & Drink,Sale,-12.71,
7/29/2022,7/29/2022,Payment Thank You Bill Pa,,Payment,1000,
7/28/2022,7/29/2022,WELCOME TO THE JOHNSON,Food & Drink,Sale,-32.95,
7/26/2022,7/29/2022,DARIEN VALERO,Gas,Sale,-0.06,
7/28/2022,7/29/2022,DUANE READE #14398,Health & Wellness,Sale,-45.48,
7/28/2022,7/29/2022,PRETTY RICKY`S,Food & Drink,Sale,-42.2,
7/27/2022,7/29/2022,MTA*METROCARD MACHINE,Travel,Sale,-10,
7/27/2022,7/28/2022,CA FRANCHISE TAX BOARD,Bills & Utilities,Sale,-3055.19,
7/27/2022,7/28/2022,B&amp;B BAGELS,Food & Drink,Sale,-16.87,
7/27/2022,7/28/2022,OPC CA FRANCHISE TAX BOAR,Bills & Utilities,Sale,-70.27,
7/26/2022,7/28/2022,EXXONMOBIL    97424048,Gas,Sale,-46.04,
7/27/2022,7/27/2022,Payment Thank You Bill Pa,,Payment,1000,
7/26/2022,7/27/2022,POLCARIS COFFEE,Groceries,Sale,-12.98,
7/26/2022,7/27/2022,GOING BANANAS,Groceries,Sale,-8.99,
7/26/2022,7/27/2022,GOING BANANAS,Groceries,Sale,-2.99,
7/26/2022,7/27/2022,SQ *WALK UP COFFEE,Food & Drink,Sale,-6.24,
7/26/2022,7/27/2022,MCDONALD'S F25937,Food & Drink,Sale,-11.76,
7/27/2022,7/27/2022,EDIBLE ARRANGEMENTS,Groceries,Sale,-61.96,
7/25/2022,7/26/2022,GOING BANANAS,Groceries,Sale,-23.4,
7/26/2022,7/26/2022,BH* BETTERHELP,Health & Wellness,Sale,-260,
7/25/2022,7/26/2022,Amazon.com*TJ5QY55A3,Shopping,Sale,-25.14,
7/25/2022,7/26/2022,SQ *WALK UP COFFEE,Food & Drink,Sale,-5.34,
7/23/2022,7/25/2022,LIQUOR JUNCTION- WINCHES,Food & Drink,Sale,-10.29,
7/24/2022,7/25/2022,LEVELUPSWEETGREEN6920,Food & Drink,Sale,-12.79,
7/23/2022,7/25/2022,ANDREAS PIZZA,Food & Drink,Sale,-13.7,
7/22/2022,7/25/2022,PAULI'S,Food & Drink,Sale,-9.08,
7/22/2022,7/24/2022,A &amp; B BURGERS,Food & Drink,Sale,-86.76,
7/23/2022,7/24/2022,BP#1947480317 MONTVALE A,Gas,Sale,-47.5,
7/23/2022,7/24/2022,WILD ROVER,Food & Drink,Sale,-45.6,
7/23/2022,7/24/2022,TST* SULLIVAN'S TAP,Food & Drink,Sale,-8,
7/23/2022,7/24/2022,WILD ROVER,Food & Drink,Sale,-50,
7/23/2022,7/24/2022,WILD ROVER,Food & Drink,Sale,-38,
7/22/2022,7/24/2022,GOING BANANAS,Groceries,Sale,-8.98,
7/22/2022,7/24/2022,AMZN Mktp US*H679P0L03,Shopping,Sale,-26.49,
7/20/2022,7/22/2022,THE WHITE BULL,Food & Drink,Sale,-15.84,
7/20/2022,7/22/2022,DIG INN - DOWNTOWN CROSSI,Food & Drink,Sale,-18.5,
7/21/2022,7/22/2022,GOING BANANAS,Groceries,Sale,-18.77,
7/21/2022,7/22/2022,AMZN Mktp US*018SM1T33,Shopping,Sale,-35.48,
7/21/2022,7/22/2022,SQ *WALK UP COFFEE,Food & Drink,Sale,-6.24,
7/21/2022,7/22/2022,NORTHEND FISH SUSHI,Food & Drink,Sale,-26.21,
7/20/2022,7/22/2022,Durty Nelly's,Food & Drink,Sale,-19.72,
7/20/2022,7/22/2022,CITY SMOKE SHOP,Groceries,Sale,-10.98,
7/20/2022,7/21/2022,AMZN Mktp US*FM2433543,Shopping,Sale,-6.35,
7/20/2022,7/21/2022,DUNKIN #338940 Q35,Food & Drink,Sale,-3.52,
7/19/2022,7/20/2022,GOING BANANAS,Groceries,Sale,-6.74,
7/18/2022,7/20/2022,PAULI'S,Food & Drink,Sale,-7.48,
7/19/2022,7/20/2022,GOING BANANAS,Groceries,Sale,-2.99,
7/18/2022,7/20/2022,PAULI'S,Food & Drink,Sale,-3.75,
7/19/2022,7/19/2022,Payment Thank You Bill Pa,,Payment,1485,
7/18/2022,7/19/2022,Amazon.com*6J7AD8IY3,Shopping,Sale,-20.52,
7/17/2022,7/19/2022,EXXONMOBIL    42046813,Gas,Sale,-59.1,
7/18/2022,7/19/2022,Amazon.com*1K3L77HG3,Shopping,Sale,-44.52,
7/18/2022,7/19/2022,AMZN Mktp US*FN4O282V3,Shopping,Sale,-19.11,
7/16/2022,7/19/2022,U-HAULLONG NURSERY INC,Automotive,Sale,-49.97,
7/17/2022,7/19/2022,EXXONMOBIL    42046813,Gas,Sale,-10.53,
7/18/2022,7/19/2022,GOING BANANAS,Groceries,Sale,-18.62,
7/17/2022,7/19/2022,WENDY S #300,Food & Drink,Sale,-12,
7/16/2022,7/18/2022,SHEETZ 0211   00002113,Gas,Sale,-7.2,
7/17/2022,7/18/2022,DUNKIN #345497 Q35,Food & Drink,Sale,-5.6,
7/18/2022,7/18/2022,AMZN Mktp US,Shopping,Return,6.99,
7/17/2022,7/18/2022,AACA MUSEUM INC,Gifts & Donations,Sale,-28,
7/17/2022,7/18/2022,GULF OIL 92038875,Gas,Sale,-52.07,
7/16/2022,7/18/2022,THE SODA JERK DINER,Food & Drink,Sale,-55.02,
7/15/2022,7/17/2022,RUBICON,Food & Drink,Sale,-94.2,
7/16/2022,7/17/2022,Amazon.com*7C1MS6N43,Shopping,Sale,-12.8,
7/16/2022,7/17/2022,TURKEY HILL #0197,Gas,Sale,-4.58,
7/14/2022,7/15/2022,GIANT 6097,Groceries,Sale,-76,
7/14/2022,7/15/2022,PANERA BREAD #600833 P,Food & Drink,Sale,-10.62,
7/14/2022,7/15/2022,GIANT 6097,Groceries,Sale,-31.78,
7/13/2022,7/14/2022,AMZN Mktp US*C86JM2EQ3,Shopping,Sale,-28.66,
7/13/2022,7/14/2022,KARNS QUALITY FOODS,Groceries,Sale,-11.48,
7/12/2022,7/13/2022,Amazon.com*O462E9QU3,Shopping,Sale,-26.96,
7/12/2022,7/13/2022,SPEEDWAY 06766,Gas,Sale,-74.72,
7/12/2022,7/13/2022,GIANT 6097,Groceries,Sale,-4.83,
7/12/2022,7/12/2022,Amazon.com*I101C8RU3,Shopping,Sale,-68.93,
7/12/2022,7/12/2022,Amazon.com*RC2J12R43,Shopping,Sale,-14.88,
7/11/2022,7/12/2022,GIANT 6097,Groceries,Sale,-5.57,
7/10/2022,7/12/2022,CROSSROADS ANTIQUE MALL,Shopping,Sale,-66.25,
7/10/2022,7/11/2022,AMZN Mktp US*7M9P99T73,Shopping,Sale,-22.07,
7/8/2022,7/11/2022,CAFFE DELLO SPORT,Food & Drink,Sale,-11,
7/9/2022,7/11/2022,CHICK-FIL-A #04561,Food & Drink,Sale,-22.92,
7/10/2022,7/11/2022,THE HERSHEY PANTRY,Food & Drink,Sale,-58,
7/10/2022,7/11/2022,TARGET        00021865,Shopping,Sale,-7.85,
7/10/2022,7/11/2022,WM SUPERCENTER #1591,Groceries,Sale,-53,
7/10/2022,7/11/2022,TARGET        00021865,Shopping,Sale,-276.02,
7/7/2022,7/10/2022,THE WILD DUCK,Food & Drink,Sale,-29.61,
7/9/2022,7/10/2022,GULF OIL 92038891,Gas,Sale,-55.7,
7/8/2022,7/10/2022,DUNKIN #345299 Q35,Food & Drink,Sale,-4.9,
7/7/2022,7/10/2022,THE WILD DUCK,Food & Drink,Sale,-29.61,
7/8/2022,7/10/2022,TRATTORIA IL PANINO HANOV,Food & Drink,Sale,-60.28,
7/7/2022,7/10/2022,CAFFE DELLO SPORT,Food & Drink,Sale,-9.95,
7/8/2022,7/10/2022,EXXONMOBIL    99319659,Gas,Sale,-4.58,
7/7/2022,7/8/2022,GOING BANANAS,Groceries,Sale,-12.77,
7/6/2022,7/7/2022,GOING BANANAS,Groceries,Sale,-12.98,
7/6/2022,7/7/2022,DUNKIN #332761 Q35,Food & Drink,Sale,-5.02,
7/6/2022,7/7/2022,GOING BANANAS,Groceries,Sale,-3.99,
7/5/2022,7/7/2022,CITY SMOKE SHOP,Groceries,Sale,-9.76,
7/5/2022,7/7/2022,CAFFE DELLO SPORT,Food & Drink,Sale,-11,
7/6/2022,7/6/2022,Payment Thank You Bill Pa,,Payment,1450,
7/4/2022,7/6/2022,RAILROAD LIQUORS,Food & Drink,Sale,-46.47,
7/5/2022,7/6/2022,BLUEBIKES,Travel,Sale,-3.13,
7/5/2022,7/6/2022,SQ *THINKING CUP HANOVER,Groceries,Sale,-38.39,
7/4/2022,7/5/2022,JIMS BAGEL &amp; BAKE SHOPPE,Food & Drink,Sale,-19.17,
7/3/2022,7/5/2022,SCHOONER`S MARKET,Groceries,Sale,-26.73,
7/1/2022,7/4/2022,CAFFE DELLO SPORT,Food & Drink,Sale,-6,
6/30/2022,7/3/2022,BARCELONA WINE BAR -SO,Food & Drink,Sale,-40,
7/1/2022,7/3/2022,THE WILD DUCK,Food & Drink,Sale,-66,
7/1/2022,7/3/2022,GOING BANANAS,Groceries,Sale,-19.15,
7/1/2022,7/3/2022,THE WILD DUCK,Food & Drink,Sale,-40.84,
7/1/2022,7/3/2022,TST* THE BEEHIVE,Food & Drink,Sale,-41.24,
6/30/2022,7/3/2022,BARCELONA WINE BAR -SO,Food & Drink,Sale,-60,
7/1/2022,7/3/2022,CVS/PHARMACY #04666,Health & Wellness,Sale,-18.04,
6/30/2022,7/1/2022,DUNKIN #355925 Q35,Food & Drink,Sale,-3.6,
6/30/2022,7/1/2022,CVS/PHARMACY #01900,Health & Wellness,Sale,-48.22,
6/29/2022,7/1/2022,EXXONMOBIL    99319659,Gas,Sale,-11.49,
6/29/2022,6/30/2022,DUNKIN #355925 Q35,Food & Drink,Sale,-4.98,
6/28/2022,6/29/2022,DUNKIN #355925 Q35,Food & Drink,Sale,-3.6,
6/28/2022,6/29/2022,SQ *POKE BY LOVE ART NORT,Food & Drink,Sale,-17.54,
6/28/2022,6/29/2022,DUNKIN #355925 Q35,Food & Drink,Sale,-3.28,
6/28/2022,6/29/2022,DUNKIN #345299 Q35,Food & Drink,Sale,-8.54,
6/27/2022,6/28/2022,AMZN Mktp US*FS26D5FJ3,Shopping,Sale,-13.79,
6/28/2022,6/28/2022,BH* BETTERHELP,Health & Wellness,Sale,-260,
6/27/2022,6/28/2022,GOING BANANAS,Groceries,Sale,-62.98,
6/27/2022,6/28/2022,AMZN Mktp US*NQ2Y89VB3,Shopping,Sale,-6.99,
6/27/2022,6/28/2022,BABUSHKA DELI,Groceries,Sale,-17.99,
6/24/2022,6/27/2022,CAFFE DELLO SPORT,Food & Drink,Sale,-40,
6/24/2022,6/26/2022,TST* ANTICO FORNO,Food & Drink,Sale,-156.25,
6/23/2022,6/26/2022,PAULI'S,Food & Drink,Sale,-3.75,
6/25/2022,6/26/2022,TST* MACHACA,Food & Drink,Sale,-80,
6/24/2022,6/26/2022,LIQUOR JUNCTION- WINCHES,Food & Drink,Sale,-18.48,
6/25/2022,6/26/2022,TST* MACHACA,Food & Drink,Sale,-16,
6/23/2022,6/26/2022,PAULI'S,Food & Drink,Sale,-11.76,
6/23/2022,6/24/2022,CVS/PHARMACY #01900,Health & Wellness,Sale,-4.24,
6/23/2022,6/24/2022,NORTH END CLEANERS,Personal,Sale,-17,
6/23/2022,6/24/2022,SQ *WALK UP COFFEE,Food & Drink,Sale,-6,
6/22/2022,6/23/2022,MBTA HAYMARKET,Travel,Sale,-9.6,
6/22/2022,6/23/2022,GOING BANANAS,Groceries,Sale,-17.73,
6/21/2022,6/23/2022,MEGUMI OF JAPAN,Food & Drink,Sale,-2.14,
6/22/2022,6/23/2022,GOING BANANAS,Groceries,Sale,-11.57,
6/22/2022,6/22/2022,AMZN Mktp US*3V6P88XV3,Shopping,Sale,-70.11,
6/21/2022,6/22/2022,USPS PO 2400840113,Shopping,Sale,-5.99,
6/21/2022,6/22/2022,SQ *THINKING CUP HANOVER,Groceries,Sale,-25.1,
6/21/2022,6/22/2022,CVS/PHARMACY #01900,Health & Wellness,Sale,-55.3,
6/21/2022,6/22/2022,THE UPS STORE 4972,Personal,Sale,-3.18,
6/20/2022,6/21/2022,AMZN Mktp US*7M55W02H3,Shopping,Sale,-21.2,
6/19/2022,6/21/2022,HOLIDAY INN EXPRESS HARR,Travel,Sale,-325.91,
6/18/2022,6/20/2022,SHELL OIL 57545704504,Gas,Sale,-54.75,
6/19/2022,6/20/2022,MCDONALD'S F12002,Food & Drink,Sale,-15.87,
6/19/2022,6/20/2022,TST* The Millworks Harris,Food & Drink,Sale,-61.22,
6/17/2022,6/19/2022,GULF OIL 92038867,Gas,Sale,-23.97,
6/17/2022,6/19/2022,GULF OIL 92038867,Gas,Sale,-2.29,
6/16/2022,6/19/2022,THE WILD DUCK,Food & Drink,Sale,-15.58,
6/17/2022,6/19/2022,GOING BANANAS,Groceries,Sale,-19.41,
6/18/2022,6/19/2022,MCDONALD'S F15236,Food & Drink,Sale,-8.17,
6/16/2022,6/19/2022,CAFFE DELLO SPORT,Food & Drink,Sale,-36,
6/16/2022,6/16/2022,Payment Thank You Bill Pa,,Payment,2600,
6/15/2022,6/16/2022,GOING BANANAS,Groceries,Sale,-37.06,
6/15/2022,6/16/2022,HAWAIIAN AI 1730000000000,Travel,Sale,-16,
6/15/2022,6/16/2022,GOING BANANAS,Groceries,Sale,-15.93,
6/15/2022,6/16/2022,AF*NEIDLINGER MANAGEM.,Professional Services,Sale,-35,
6/15/2022,6/16/2022,MEJURI,Shopping,Sale,-300.26,
6/13/2022,6/16/2022,YPS*LEI HAWAII REAL,Travel,Return,616.94,
6/13/2022,6/16/2022,YPS*LEI HAWAII REAL,Travel,Return,300,
6/14/2022,6/15/2022,Vrbo Fee,Travel,Return,72,
6/13/2022,6/15/2022,HULA GRILL WAIKIKI,Food & Drink,Sale,-37,
6/14/2022,6/15/2022,TST* Monicas Mercato,Food & Drink,Sale,-21.26,
